new_cases,PRECIPITATION,REL_HUMIDITY,MAX_TEMP,MIN_TEMP,MAX_WIND_SPEED,WIND_S50M,SOLAR1_INS_CLEAR_IND,SOLAR2_ALL_SKY_II,SOLAR3_DWN_THERM_IR,Level
0,0.27,94.85,7.11,1.98,5.77,6.97,0.49,1.12,6.38,Level1
0,0.69,94.87,4.3,0.39,6.29,6.95,0.3,0.71,6.31,Level1
0,1.12,96.58,2.87,0.14,3.95,4.89,0.34,0.8,6.4,Level1
0,0.14,89.07,4.09,-2.3,2.5,1.88,0.43,1.04,5.72,Level1
0,0,94.34,3.99,-3.66,3.35,4.56,0.52,1.27,5.32,Level1
0,0.36,97.6,0.82,-2.96,3.8,4.32,0.23,0.56,6.47,Level1
0,0.1,94.45,2.9,-2.83,2.21,2.07,0.32,0.8,6.82,Level1
0,0.05,92.9,1.61,-2.94,4.3,4.66,0.45,1.15,6.13,Level1
0,0.16,93.23,1.06,-2.63,3.17,3.6,0.22,0.58,6.77,Level1
0,0.15,96.74,2.59,-1.41,5.03,5.49,0.28,0.76,6.43,Level1
0,2.38,97.62,4.75,0.96,6.84,8.65,0.18,0.5,6.88,Level1
1,5.06,93.73,4.28,-0.41,11.36,11.91,0.1,0.26,6.8,Level1
3,1.1,92.35,3.81,-0.15,9.38,10.27,0.27,0.75,6.58,Level1
0,0.35,94.79,5.31,-0.21,9.63,10.27,0.28,0.81,7.04,Level1
1,0.87,90.56,10.75,6.18,10.49,11.64,0.38,1.11,7.28,Level1
2,4.2,93.89,10.1,5.36,9.08,11.39,0.12,0.35,7.62,Level1
1,4.2,93.39,9.2,3.48,10.21,10.9,0.15,0.45,7.19,Level1
1,4.5,91.2,8.87,5.3,9.42,10.29,0.24,0.72,7.55,Level1
2,8.11,91.85,4.87,1.27,8.75,9,0.37,1.15,6.75,Level1
0,0.16,86.2,3.49,-2.05,8.61,6.92,0.53,1.69,5.87,Level1
0,0.16,93.21,4.2,-1.16,4.42,5.27,0.16,0.51,7.16,Level1
1,0.05,92.2,5.42,-1.57,4.16,4.31,0.25,0.82,7.19,Level1
1,0.01,92.01,4.69,-2.33,5.98,7.44,0.44,1.47,6.31,Level1
0,3.13,89.78,9.13,0.89,16.67,14.29,0.3,1.03,7.18,Level1
0,13.19,87.04,9.59,2.27,15.8,17.02,0.28,0.99,7.17,Level1
0,1.75,82.23,4.3,1.07,14.2,15.78,0.37,1.33,6.39,Level1
2,0.87,86.09,4.08,0.22,11.23,12.42,0.41,1.49,6.12,Level1
0,3.59,94.25,3.88,-0.98,8.84,8.93,0.09,0.33,6.28,Level1
0,1.53,93.96,6.25,-0.26,6.88,6.59,0.29,1.09,6.82,Level1
0,0,93.19,7.25,-0.53,7.91,8.96,0.49,1.89,6.67,Level1
0,1.17,82.35,11.67,4.69,13.55,15.33,0.26,1.03,7.72,Level1
0,1.97,87.74,10.69,4.11,11.22,11.23,0.29,1.17,7.11,Level1
0,2.18,85.81,6.66,3.24,10.38,11.77,0.43,1.77,6.51,Level1
0,2.98,87.85,4.86,-0.51,9.45,10.5,0.31,1.29,6.67,Level1
0,2.38,95.55,5.38,-1.2,11.21,9.66,0.24,1.03,6.94,Level1
0,1.05,84.78,5.64,1.27,10.79,10.65,0.41,1.75,7.07,Level1
0,0.88,86.35,7.92,1.11,11.77,12.74,0.3,1.32,7.32,Level1
0,10.52,91.52,10.7,2.58,15.73,14.85,0.08,0.34,7.39,Level1
0,5.86,93.8,8.35,0.08,10.4,9.46,0.24,1.1,6.85,Level1
0,1.41,86.56,8.4,2.98,10.14,10.67,0.41,1.87,7.02,Level1
2,4.2,90.47,3.55,0.7,8.05,8.53,0.28,1.29,6.9,Level1
4,2.79,91.96,3.06,-0.51,6.36,6.28,0.29,1.35,6.48,Level1
26,3.19,87.27,4.65,-0.54,7.9,8.48,0.42,2.03,6.86,Level1
10,3.4,90.83,9.99,0.81,11.09,11.52,0.47,2.3,6.9,Level1
54,1.36,86.98,8.04,1.96,10.1,9.86,0.36,1.79,6.81,Level1
18,1.8,83.08,8.62,2.31,7.17,6.7,0.56,2.82,6.78,Level1
28,3.07,87.53,5.66,-1.07,6.9,6.5,0.36,1.86,6.58,Level1
39,0.77,94.34,5.75,-1.59,6.11,6.26,0.31,1.62,6.37,Level1
66,5.03,88.57,6.75,-0.49,6.85,6.98,0.44,2.33,6.84,Level1
138,5.04,94.32,5.52,1.87,6.87,7.02,0.24,1.29,7.43,Level1
284,1.75,87.95,6.09,-0.31,6.99,7.63,0.28,1.51,6.99,Level1
163,0.33,89.64,7.78,-0.68,8.01,8.64,0.38,2.11,6.97,Level1
